[2019-10-13 12:09:21,823], ## Epoch 53/500 Loss:109.460, MAE:132.92, MSE:206.94, Best MAE:137.27
[2019-10-13 12:10:11,740], ## Epoch 54/500 Loss:103.777, MAE:189.25, MSE:258.23, Best MAE:132.92
[2019-10-13 12:11:01,215], ## Epoch 55/500 Loss:99.706, MAE:147.78, MSE:207.20, Best MAE:132.92
[2019-10-13 12:11:50,733], ## Epoch 56/500 Loss:108.729, MAE:155.69, MSE:247.21, Best MAE:132.92
[2019-10-13 12:12:40,145], ## Epoch 57/500 Loss:118.762, MAE:164.07, MSE:247.72, Best MAE:132.92
[2019-10-13 12:13:29,417], ## Epoch 58/500 Loss:100.781, MAE:133.43, MSE:203.64, Best MAE:132.92
[2019-10-13 12:14:18,729], ## Epoch 59/500 Loss:95.408, MAE:154.83, MSE:225.22, Best MAE:132.92
[2019-10-13 12:15:07,300], ## Epoch 60/500 Loss:103.558, MAE:172.35, MSE:232.24, Best MAE:132.92
[2019-10-13 12:15:56,141], ## Epoch 61/500 Loss:114.766, MAE:132.15, MSE:194.55, Best MAE:132.92
[2019-10-13 12:16:45,473], ## Epoch 62/500 Loss:112.967, MAE:135.00, MSE:210.05, Best MAE:132.15
[2019-10-13 12:17:34,393], ## Epoch 63/500 Loss:103.161, MAE:155.72, MSE:212.66, Best MAE:132.15
[2019-10-13 12:18:23,681], ## Epoch 64/500 Loss:108.774, MAE:212.30, MSE:314.75, Best MAE:132.15
[2019-10-13 12:19:12,738], ## Epoch 65/500 Loss:105.668, MAE:133.70, MSE:197.63, Best MAE:132.15
[2019-10-13 12:20:01,937], ## Epoch 66/500 Loss:91.946, MAE:139.47, MSE:205.40, Best MAE:132.15
[2019-10-13 12:20:50,855], ## Epoch 67/500 Loss:100.022, MAE:165.64, MSE:227.37, Best MAE:132.15
[2019-10-13 12:21:40,086], ## Epoch 68/500 Loss:103.235, MAE:135.08, MSE:204.00, Best MAE:132.15
[2019-10-13 12:22:29,217], ## Epoch 69/500 Loss:94.598, MAE:139.23, MSE:201.79, Best MAE:132.15
